Department,Semester,Subject,Assessment Stage,Attendance,SPI,Study Hours,Backlogs,Mid1,Mid2,Expected Grade,Pass,Performance Category
Electrical Engineering,5,Electrical Power System-1,After Mid-1,77.2,8.01,28.7,0,6.1,,BB,1,Very Good
Civil Engineering,7,Design of Reinforced Concrete Structures,After Mid-1,93.2,7.55,16.5,0,8.1,,BB,1,Very Good
Computer Engineering,1,Mathematics-1,Before Mid-1,95.5,8.09,22.7,0,,,AB,1,Excellent
Information Technology,6,Cyber Security & Laws,Before Mid-1,76.0,6.34,17.5,1,,,BB,1,Very Good
Electronics & Communication,7,Embedded Systems,After Mid-2,79.3,7.77,24.5,0,7.3,17.2,AB,1,Excellent
Computer Engineering,5,Cyber Security,Before Mid-1,92.0,8.04,27.5,0,,,AB,1,Excellent
Electrical Engineering,3,Analog Electronics,After Mid-1,91.1,6.83,18.6,1,7.4,,BB,1,Very Good
Computer Engineering,2,Basic Electronics,After Mid-1,89.2,6.98,22.1,0,6.0,,BC,1,Good
Mechanical Engineering,1,Engineering Graphics & Design,After Mid-2,85.5,8.74,19.8,2,7.6,12.4,BB,1,Very Good
Civil Engineering,1,Engineering Graphics & Design,Before Mid-1,76.8,5.41,17.4,3,,,FF,0,At Risk
Electrical Engineering,5,Electrical Power System-1,Before Mid-1,88.2,7.86,23.8,1,,,BB,1,Very Good
Civil Engineering,8,Project-2,After Mid-2,89.2,8.03,20.6,0,7.1,13.8,AB,1,Excellent
Computer Engineering,5,Cyber Security,Before Mid-1,97.6,8.49,18.1,0,,,AA,1,Excellent
Mechanical Engineering,3,Manufacturing Processes-1,Before Mid-1,81.5,7.01,18.1,0,,,BB,1,Very Good
Mechanical Engineering,6,Operations Research,After Mid-2,86.1,6.57,20.0,0,6.3,11.4,BC,1,Good
Electronics & Communication,6,Antenna & Wave Propagation,Before Mid-1,89.9,7.05,27.2,0,,,BC,1,Good
Information Technology,4,Database Management Systems,Before Mid-1,80.5,8.74,19.5,0,,,AB,1,Excellent
Computer Engineering,1,Physics,After Mid-1,74.9,7.77,16.4,0,5.8,,BB,1,Very Good
Information Technology,8,Distributed Systems,After Mid-2,83.2,6.7,18.3,1,4.6,6.9,CC,1,Average
Information Technology,8,Big Data Analytics,After Mid-1,83.7,6.45,24.6,2,5.8,,CC,1,Average
Electrical Engineering,7,Electric Drives,After Mid-2,92.1,6.16,25.5,2,6.0,11.3,BC,1,Good
Civil Engineering,3,Mechanics of Solids,After Mid-2,76.4,7.06,22.7,0,5.2,11.3,BC,1,Good
Electronics & Communication,1,Physics,After Mid-2,75.5,7.64,33.2,0,5.7,10.9,BB,1,Very Good
Mechanical Engineering,6,Production Technology,Before Mid-1,77.1,5.19,13.0,0,,,CC,1,Average
Electronics & Communication,6,VLSI Design,After Mid-2,85.9,6.71,21.5,0,5.4,10.7,BC,1,Good
Computer Engineering,1,Environmental Sciences,After Mid-1,92.1,8.61,23.9,0,9.2,,AA,1,Excellent
Computer Engineering,8,Artificial Intelligence,After Mid-2,93.7,8.26,27.1,0,6.2,12.7,AB,1,Excellent
Information Technology,2,Physics,Before Mid-1,88.3,7.53,21.5,0,,,BB,1,Very Good
Information Technology,3,Data Structures,After Mid-2,94.1,7.45,21.7,0,7.8,13.3,BB,1,Very Good
Electronics & Communication,8,Wireless Communication,After Mid-2,64.7,4.0,17.2,3,3.8,6.3,FF,0,At Risk
Information Technology,2,Basic Electronics,After Mid-2,75.4,5.9,21.1,1,5.0,9.4,CC,1,Average
Computer Engineering,8,Project-2,After Mid-2,85.1,10.0,27.9,0,10.0,19.6,AA,1,Excellent
Mechanical Engineering,5,Internal Combustion Engines,After Mid-1,79.9,5.45,17.5,6,4.9,,FF,0,At Risk
Civil Engineering,7,Irrigation Engineering,After Mid-2,88.5,7.76,26.6,0,7.2,16.9,AB,1,Excellent
Mechanical Engineering,5,Dynamics of Machinery,After Mid-1,77.3,6.46,24.8,1,6.2,,BC,1,Good
Computer Engineering,2,Basic Electronics,After Mid-1,85.3,6.33,20.4,3,6.3,,BC,1,Good
Information Technology,8,Project-2,After Mid-1,87.3,6.87,26.7,0,7.1,,BB,1,Very Good
Computer Engineering,8,Internet of Things,Before Mid-1,83.6,8.64,27.4,0,,,AB,1,Excellent
Mechanical Engineering,2,Environmental Sciences,After Mid-2,89.1,7.8,24.4,0,7.9,17.7,AA,1,Excellent
Civil Engineering,2,Workshop Practices,After Mid-1,77.2,6.41,18.7,0,7.2,,BB,1,Very Good
Electrical Engineering,7,Electric Drives,After Mid-1,93.8,8.84,26.2,0,7.6,,AB,1,Excellent
Electrical Engineering,6,Power Electronics-1,After Mid-2,83.2,7.99,22.9,0,8.5,16.4,AB,1,Excellent
Civil Engineering,6,Foundation Engineering,After Mid-2,79.5,5.66,15.2,0,7.1,12.5,BC,1,Good
Mechanical Engineering,8,Automobile Engineering,Before Mid-1,89.6,6.84,20.5,0,,,BB,1,Very Good
Electrical Engineering,7,Smart Grid Technology,Before Mid-1,78.3,7.16,22.4,0,,,BB,1,Very Good
Civil Engineering,8,Project-2,After Mid-1,92.1,9.06,35.0,0,8.2,,AA,1,Excellent
Civil Engineering,4,Structural Analysis-1,After Mid-2,75.7,6.62,15.0,0,5.7,13.5,BC,1,Good
Electronics & Communication,5,Integrated Circuits & Applications,After Mid-2,77.1,7.09,20.0,0,6.4,14.6,BB,1,Very Good
Computer Engineering,6,Agile Software Development,After Mid-2,90.2,6.85,21.2,0,9.4,18.1,AB,1,Excellent
Civil Engineering,8,Construction Project Management,After Mid-2,87.7,7.44,17.3,0,8.4,16.9,AB,1,Excellent
Computer Engineering,6,Web Technology,After Mid-2,75.4,4.0,20.2,1,4.0,7.8,CD,1,Average
Civil Engineering,2,Programming for Problem Solving,Before Mid-1,92.0,5.75,19.1,1,,,CC,1,Average
Electronics & Communication,2,Environmental Sciences,After Mid-2,79.4,5.53,16.9,1,6.7,14.3,BC,1,Good
Information Technology,2,Mathematics-2,Before Mid-1,83.1,7.03,24.2,0,,,BB,1,Very Good
Civil Engineering,2,Environmental Sciences,After Mid-1,77.5,7.57,24.9,0,8.6,,AB,1,Excellent
Computer Engineering,4,Operating System,After Mid-2,93.8,7.41,26.0,1,4.6,10.5,BC,1,Good
Civil Engineering,8,Earthquake Engineering,After Mid-1,89.1,8.12,20.3,0,6.5,,BB,1,Very Good
Electronics & Communication,3,Network Theory,Before Mid-1,77.2,6.04,23.2,0,,,CC,1,Average
Computer Engineering,6,Web Technology,Before Mid-1,83.2,4.45,13.4,5,,,FF,0,At Risk
Mechanical Engineering,5,Machine Design-1,Before Mid-1,71.0,7.09,17.7,0,,,CC,1,Average
Electronics & Communication,7,Embedded Systems,After Mid-2,70.0,6.94,21.6,0,6.7,10.2,BB,1,Very Good
Civil Engineering,3,Building Construction & Materials,Before Mid-1,78.9,7.69,21.1,1,,,AB,1,Excellent
Civil Engineering,3,Surveying,After Mid-1,80.1,8.54,21.0,0,7.4,,AB,1,Excellent
Mechanical Engineering,8,Renewable Energy Engineering,Before Mid-1,75.7,7.15,22.4,0,,,BB,1,Very Good
Civil Engineering,8,Earthquake Engineering,After Mid-1,94.8,9.45,27.8,0,9.4,,AA,1,Excellent
Electronics & Communication,5,Digital Communication,Before Mid-1,93.8,8.93,24.8,0,,,AB,1,Excellent
Mechanical Engineering,2,Mathematics-2,After Mid-2,83.3,7.02,26.9,2,6.1,13.5,BC,1,Good
Electronics & Communication,4,Analog Communication,After Mid-2,82.6,6.04,20.2,0,4.1,5.0,CC,1,Average
Mechanical Engineering,8,Project-2,Before Mid-1,76.5,7.88,17.4,0,,,BB,1,Very Good
Computer Engineering,6,Agile Software Development,Before Mid-1,80.5,6.33,18.9,0,,,BB,1,Very Good
Mechanical Engineering,6,Production Technology,Before Mid-1,84.8,5.73,14.4,0,,,BC,1,Good
Information Technology,5,Python Programming,After Mid-1,83.6,6.89,23.2,0,7.2,,AB,1,Excellent
Computer Engineering,4,Discrete Mathematics,Before Mid-1,79.3,8.79,22.7,0,,,AB,1,Excellent
Mechanical Engineering,2,Environmental Sciences,Before Mid-1,78.9,7.35,29.5,0,,,AA,1,Excellent
Electronics & Communication,1,Mathematics-1,After Mid-2,84.7,8.31,26.6,1,6.4,15.0,BB,1,Very Good
Civil Engineering,1,Mathematics-1,After Mid-1,84.1,4.78,19.5,2,4.2,,CD,1,Average
Information Technology,3,Digital Electronics,Before Mid-1,81.3,7.6,22.7,0,,,BB,1,Very Good
Mechanical Engineering,6,Production Technology,Before Mid-1,80.2,6.18,18.2,0,,,BC,1,Good
Computer Engineering,4,Computer Organization & Architecture,After Mid-1,94.6,7.65,19.3,0,6.8,,BB,1,Very Good
Civil Engineering,7,Project-1,Before Mid-1,72.0,7.5,28.7,0,,,BB,1,Very Good
Information Technology,1,Basic Electrical Engineering,After Mid-1,87.2,7.29,22.0,0,5.6,,BB,1,Very Good
Information Technology,6,Mobile Computing,After Mid-2,88.3,8.48,29.0,0,8.7,19.2,AA,1,Excellent
Computer Engineering,3,Effective Technical Communication,After Mid-2,96.7,6.76,20.7,0,8.4,14.3,AB,1,Excellent
Electrical Engineering,8,E-Vehicle Technology,After Mid-1,85.7,7.89,29.8,1,5.8,,BB,1,Very Good
Electronics & Communication,2,Engineering Graphics & Design,After Mid-2,80.5,8.24,28.7,0,8.7,18.5,AA,1,Excellent
Information Technology,8,Project-2,After Mid-1,86.1,8.05,18.0,0,6.9,,BB,1,Very Good
Information Technology,2,English,After Mid-1,96.0,8.33,24.5,0,6.4,,AB,1,Excellent
Electrical Engineering,4,Electrical Machines-1,After Mid-2,88.1,7.41,19.4,1,6.1,7.6,BC,1,Good
Information Technology,1,Environmental Sciences,After Mid-2,89.0,6.61,20.0,0,7.0,14.7,BB,1,Very Good
Electrical Engineering,7,Project-1,After Mid-1,90.0,7.04,22.2,0,7.0,,AB,1,Excellent
Electronics & Communication,4,Analog Communication,After Mid-1,86.5,7.58,20.7,0,8.0,,AB,1,Excellent
Electrical Engineering,8,E-Vehicle Technology,After Mid-1,94.0,8.68,32.0,0,9.6,,AA,1,Excellent
Civil Engineering,3,Building Construction & Materials,After Mid-2,92.7,9.03,28.7,0,9.0,20.0,AA,1,Excellent
Electrical Engineering,2,Basic Electronics,Before Mid-1,64.0,5.37,12.5,2,,,DD,1,At Risk
Electronics & Communication,8,Wireless Communication,After Mid-1,91.7,8.76,24.1,0,9.1,,AA,1,Excellent
Civil Engineering,1,Basic Civil Engineering,Before Mid-1,93.4,7.99,21.9,0,,,AB,1,Excellent
Electrical Engineering,4,Electrical Machines-1,After Mid-1,80.1,7.6,16.1,0,7.4,,BB,1,Very Good
Computer Engineering,3,Database Management Systems,After Mid-1,75.6,6.38,23.0,0,5.3,,BC,1,Good
Computer Engineering,2,Mathematics-2,After Mid-2,88.3,5.67,22.2,2,5.0,9.1,CD,1,Average
Computer Engineering,2,Programming for Problem Solving,Before Mid-1,69.3,6.86,17.0,1,,,BC,1,Good
Information Technology,8,Distributed Systems,After Mid-1,74.4,5.27,17.5,1,3.4,,DD,1,At Risk
Electrical Engineering,2,Basic Electronics,After Mid-2,67.2,7.66,25.7,0,8.4,17.6,AB,1,Excellent
Computer Engineering,4,Discrete Mathematics,Before Mid-1,95.1,8.14,18.3,0,,,BB,1,Very Good
Information Technology,4,Computer Networks,After Mid-1,88.1,8.75,28.0,0,7.5,,AB,1,Excellent
Civil Engineering,3,Fluid Mechanics,After Mid-2,89.3,5.9,20.2,1,5.4,8.7,CC,1,Average
Electrical Engineering,1,Mathematics-1,Before Mid-1,92.6,8.01,20.3,0,,,BB,1,Very Good
Mechanical Engineering,3,Material Science & Metallurgy,After Mid-1,89.8,5.77,17.5,0,7.3,,BB,1,Very Good
Electronics & Communication,5,Microcontroller & Applications,After Mid-1,76.0,4.11,14.9,3,3.4,,FF,0,At Risk
Civil Engineering,2,Environmental Sciences,After Mid-1,83.1,7.62,19.7,0,8.8,,AB,1,Excellent
Electrical Engineering,2,Programming for Problem Solving,After Mid-1,77.8,4.88,18.3,6,2.6,,FF,0,At Risk
Computer Engineering,5,Computer Networks,After Mid-2,80.4,8.73,26.0,0,7.1,15.1,AB,1,Excellent
Mechanical Engineering,3,Manufacturing Processes-1,After Mid-2,77.0,6.11,18.3,1,5.4,9.7,BC,1,Good
Mechanical Engineering,1,Engineering Graphics & Design,After Mid-1,82.6,6.48,16.8,0,7.1,,BB,1,Very Good
Electrical Engineering,8,E-Vehicle Technology,Before Mid-1,89.0,7.71,21.5,1,,,BB,1,Very Good
Electronics & Communication,4,Control Systems,Before Mid-1,88.3,5.77,16.4,4,,,DD,1,At Risk
Electronics & Communication,1,Basic Electronics,After Mid-1,89.6,6.43,19.7,2,6.1,,CC,1,Average
Information Technology,5,Formal Languages & Automata Theory,After Mid-2,60.4,6.34,20.2,0,3.8,6.7,CC,1,Average
Electrical Engineering,2,Engineering Graphics & Design,Before Mid-1,86.0,6.83,22.7,0,,,BB,1,Very Good
Electrical Engineering,6,Electrical Switchgear & Protection,Before Mid-1,83.9,5.97,25.1,2,,,BC,1,Good
Civil Engineering,4,Advanced Surveying,Before Mid-1,81.9,7.89,18.4,0,,,BB,1,Very Good
Computer Engineering,3,Probability & Statistics,After Mid-1,70.6,6.36,20.1,1,4.5,,CC,1,Average
Computer Engineering,7,Machine Learning,After Mid-2,99.2,6.26,22.3,1,5.6,10.3,BC,1,Good
Electronics & Communication,1,Basic Electronics,Before Mid-1,100.0,9.4,25.8,0,,,AA,1,Excellent
Electronics & Communication,5,Digital Communication,Before Mid-1,88.0,7.67,16.5,0,,,BB,1,Very Good
Electrical Engineering,6,Electrical Switchgear & Protection,After Mid-1,78.2,5.56,15.4,0,4.0,,CC,1,Average
Electrical Engineering,2,Basic Electronics,After Mid-1,100.0,10.0,19.6,0,10.0,,AA,1,Excellent
Civil Engineering,7,Design of Reinforced Concrete Structures,After Mid-1,93.3,8.71,22.5,0,8.1,,AB,1,Excellent
Electronics & Communication,4,Control Systems,After Mid-2,86.3,7.48,21.5,0,7.2,14.7,BB,1,Very Good
Electrical Engineering,3,Electrical Circuit Analysis,Before Mid-1,86.1,6.43,11.8,1,,,CC,1,Average
Mechanical Engineering,4,Manufacturing Processes-2,After Mid-1,84.8,7.16,18.0,0,5.6,,BC,1,Good
Civil Engineering,3,Fluid Mechanics,After Mid-1,93.8,6.31,14.2,1,6.6,,BC,1,Good
Electrical Engineering,1,Physics,After Mid-2,88.6,6.5,20.0,0,6.6,12.9,BB,1,Very Good
Electronics & Communication,2,Mathematics-2,Before Mid-1,73.2,7.61,20.8,0,,,BC,1,Good
Computer Engineering,6,Agile Software Development,Before Mid-1,82.2,6.9,21.0,1,,,BC,1,Good
Electrical Engineering,6,Testing & Maintenance of Electrical Equipment,Before Mid-1,84.1,8.26,25.1,0,,,AB,1,Excellent
Computer Engineering,2,Workshop/Manufacturing Practices,After Mid-1,71.8,5.93,17.9,1,5.0,,CC,1,Average
Electronics & Communication,1,Basic Electronics,After Mid-1,82.2,5.32,19.3,2,5.8,,CC,1,Average
Information Technology,2,Basic Electronics,Before Mid-1,86.3,8.23,17.4,0,,,AB,1,Excellent
Computer Engineering,8,Project-2,Before Mid-1,94.2,7.67,25.4,0,,,AB,1,Excellent
Computer Engineering,1,Environmental Sciences,After Mid-2,89.7,8.66,30.0,0,10.0,18.9,AA,1,Excellent
Civil Engineering,2,Environmental Sciences,After Mid-1,85.6,7.4,18.1,0,6.7,,BB,1,Very Good
Computer Engineering,7,Compiler Design,After Mid-1,90.6,8.95,25.3,0,8.3,,AB,1,Excellent
Electrical Engineering,7,Project-1,After Mid-1,99.9,8.9,27.0,2,8.1,,AB,1,Excellent
Computer Engineering,2,Basic Electronics,After Mid-2,78.6,5.78,15.7,2,5.5,13.4,CC,1,Average
Civil Engineering,7,Irrigation Engineering,After Mid-2,91.9,10.0,29.7,0,9.3,19.5,AA,1,Excellent
Electrical Engineering,6,Electrical Switchgear & Protection,After Mid-2,73.8,6.98,14.0,0,6.4,13.9,BC,1,Good
Computer Engineering,8,Big Data Analytics,After Mid-2,78.0,7.1,19.5,0,7.2,12.1,BB,1,Very Good
Information Technology,2,Programming for Problem Solving,Before Mid-1,92.1,8.23,24.7,0,,,AA,1,Excellent
Information Technology,3,Data Structures,Before Mid-1,90.1,8.23,24.5,0,,,AA,1,Excellent
Electrical Engineering,8,Project-2,After Mid-1,83.0,4.35,22.7,1,3.4,,CD,1,Average
Electrical Engineering,2,Mathematics-2,After Mid-2,78.4,6.12,18.8,0,4.7,9.5,CC,1,Average
Electrical Engineering,5,Electrical Power System-1,Before Mid-1,77.2,5.8,11.6,3,,,DD,1,At Risk
Mechanical Engineering,5,Internal Combustion Engines,After Mid-1,78.2,5.73,11.7,0,4.6,,CC,1,Average
Electrical Engineering,7,Smart Grid Technology,Before Mid-1,95.2,8.21,26.4,0,,,AA,1,Excellent
Mechanical Engineering,8,Project-2,After Mid-2,100.0,9.89,25.3,0,9.3,18.6,AA,1,Excellent
Information Technology,5,Computer Networks,After Mid-2,87.0,7.0,23.8,1,6.1,10.2,BC,1,Good
Mechanical Engineering,8,Automobile Engineering,Before Mid-1,94.6,7.49,25.2,0,,,BB,1,Very Good
Information Technology,2,Mathematics-2,After Mid-1,91.0,5.57,15.1,1,5.5,,CC,1,Average
Electrical Engineering,7,High Voltage Engineering,Before Mid-1,84.1,7.67,20.4,1,,,BC,1,Good
Electrical Engineering,1,Mathematics-1,After Mid-2,88.0,7.21,14.8,0,6.3,10.4,BB,1,Very Good
Information Technology,6,Mobile Computing,After Mid-1,82.3,4.4,17.5,2,5.1,,CD,1,Average
Civil Engineering,7,Highway & Traffic Engineering,After Mid-2,84.7,5.8,16.8,0,6.8,12.1,BC,1,Good
Civil Engineering,8,Earthquake Engineering,After Mid-2,64.8,7.93,23.3,0,7.6,16.1,BB,1,Very Good
Computer Engineering,2,Workshop/Manufacturing Practices,After Mid-1,84.6,6.18,20.5,1,7.7,,BB,1,Very Good
Electrical Engineering,8,Project-2,Before Mid-1,87.9,7.52,18.8,0,,,BB,1,Very Good
Electronics & Communication,6,Digital Signal Processing,Before Mid-1,76.2,6.78,28.3,0,,,BB,1,Very Good
Electronics & Communication,8,Project-2,After Mid-2,91.1,8.39,19.8,0,8.1,14.4,AB,1,Excellent
Electronics & Communication,5,Digital Communication,After Mid-2,82.7,6.96,23.5,1,6.9,14.1,BC,1,Good
Information Technology,4,Operating System Concepts,Before Mid-1,81.3,7.41,20.4,0,,,BB,1,Very Good
Electronics & Communication,4,Analog Communication,Before Mid-1,79.6,7.81,25.6,0,,,AB,1,Excellent
Computer Engineering,1,Environmental Sciences,After Mid-2,86.4,8.85,25.6,0,9.0,17.1,AA,1,Excellent
Civil Engineering,7,Irrigation Engineering,After Mid-1,98.6,9.22,30.8,0,8.4,,AA,1,Excellent
Computer Engineering,3,Probability & Statistics,After Mid-1,91.3,8.42,26.7,0,6.7,,AB,1,Excellent
Civil Engineering,8,Construction Project Management,After Mid-1,98.5,7.01,27.4,0,7.1,,AB,1,Excellent
Computer Engineering,3,Probability & Statistics,After Mid-2,87.7,7.54,22.4,1,5.6,10.8,BC,1,Good
Computer Engineering,2,English,Before Mid-1,89.8,6.54,21.4,0,,,BB,1,Very Good
Electrical Engineering,5,Electrical Power System-1,Before Mid-1,80.9,6.52,17.9,0,,,BC,1,Good
Computer Engineering,4,Discrete Mathematics,After Mid-2,92.6,7.75,20.7,0,8.3,14.7,AB,1,Excellent
Computer Engineering,7,Project-1,Before Mid-1,69.6,7.29,19.6,0,,,BB,1,Very Good
Mechanical Engineering,3,Engineering Thermodynamics,Before Mid-1,71.6,6.17,22.1,1,,,CC,1,Average
Computer Engineering,5,Computer Networks,Before Mid-1,75.4,4.9,18.8,1,,,CD,1,Average
Information Technology,2,Programming for Problem Solving,Before Mid-1,87.3,7.35,27.1,0,,,AB,1,Excellent
Mechanical Engineering,3,Manufacturing Processes-1,After Mid-2,80.1,6.51,19.2,1,5.2,11.2,BC,1,Good
Computer Engineering,7,Project-1,After Mid-1,84.4,7.38,23.1,0,6.1,,BB,1,Very Good
Civil Engineering,1,Basic Civil Engineering,Before Mid-1,79.0,6.85,21.6,1,,,BB,1,Very Good
Electronics & Communication,3,Network Theory,Before Mid-1,82.7,7.01,17.7,0,,,BC,1,Good
Computer Engineering,8,Artificial Intelligence,After Mid-1,89.1,7.45,28.8,0,5.5,,BB,1,Very Good
Civil Engineering,7,Design of Reinforced Concrete Structures,After Mid-1,93.8,7.33,19.4,0,5.8,,BC,1,Good
Information Technology,1,Engineering Graphics & Design,Before Mid-1,88.1,7.59,24.3,0,,,BB,1,Very Good
Computer Engineering,2,Workshop/Manufacturing Practices,Before Mid-1,77.3,6.37,17.4,1,,,BC,1,Good
Civil Engineering,5,Soil Mechanics & Geotechnical Engg,Before Mid-1,84.7,5.54,21.2,2,,,CD,1,Average
Mechanical Engineering,2,Mathematics-2,After Mid-2,95.6,9.31,25.0,0,10.0,19.2,AA,1,Excellent
Electrical Engineering,7,Electric Drives,Before Mid-1,78.9,4.4,22.8,2,,,FF,0,At Risk
Computer Engineering,4,Computer Organization & Architecture,Before Mid-1,84.8,9.12,29.3,0,,,AA,1,Excellent
Civil Engineering,2,Programming for Problem Solving,Before Mid-1,72.9,7.16,22.7,0,,,BB,1,Very Good
Information Technology,2,Programming for Problem Solving,After Mid-2,89.7,6.7,25.5,0,5.5,10.5,BC,1,Good
Information Technology,2,Physics,After Mid-2,84.8,6.67,19.1,0,6.3,9.1,BC,1,Good
Mechanical Engineering,5,Internal Combustion Engines,After Mid-1,94.4,8.8,27.6,0,7.1,,AB,1,Excellent
Electrical Engineering,1,Physics,After Mid-1,86.0,7.7,26.1,0,7.9,,AB,1,Excellent
Computer Engineering,4,Computer Organization & Architecture,After Mid-1,75.8,6.58,13.2,2,4.8,,CC,1,Average
Computer Engineering,1,Basic Electrical Engineering,After Mid-2,81.9,6.37,21.4,6,4.4,8.4,FF,0,At Risk
Electronics & Communication,5,Digital Communication,After Mid-1,86.7,8.29,18.9,0,8.4,,BB,1,Very Good
Computer Engineering,8,Internet of Things,After Mid-1,87.7,8.82,24.7,0,9.9,,AA,1,Excellent
Electronics & Communication,7,Project-1,Before Mid-1,96.3,9.51,19.5,0,,,AA,1,Excellent
Information Technology,5,Software Engineering,After Mid-1,70.3,6.14,19.5,1,6.0,,CC,1,Average
Electronics & Communication,7,Project-1,After Mid-1,76.5,7.05,20.8,0,6.5,,BB,1,Very Good
Electronics & Communication,7,Satellite Communication,After Mid-1,75.3,6.35,17.1,1,7.1,,BC,1,Good
Computer Engineering,6,Theory of Computation,After Mid-1,97.8,9.27,27.9,0,8.8,,AA,1,Excellent
Civil Engineering,8,Construction Project Management,After Mid-1,70.2,4.45,14.3,4,3.5,,FF,0,At Risk
Electronics & Communication,2,Engineering Graphics & Design,After Mid-1,91.0,8.23,14.4,0,5.5,,BB,1,Very Good
Civil Engineering,2,Workshop Practices,After Mid-1,82.8,7.07,29.2,0,7.0,,AB,1,Excellent
Electronics & Communication,4,Control Systems,After Mid-2,79.0,7.62,18.1,0,7.0,10.3,BB,1,Very Good
Computer Engineering,7,Project-1,After Mid-2,80.8,7.48,27.6,1,6.3,12.6,BB,1,Very Good
Civil Engineering,5,Hydrology & Water Resources Engg,Before Mid-1,71.2,7.26,27.4,0,,,BB,1,Very Good
Information Technology,5,Formal Languages & Automata Theory,Before Mid-1,100.0,10.0,32.5,0,,,AA,1,Excellent
Electrical Engineering,1,Physics,Before Mid-1,83.5,5.13,14.5,1,,,CD,1,Average
Computer Engineering,3,Digital Fundamentals,After Mid-2,74.1,6.11,21.9,0,6.7,13.3,BB,1,Very Good
Computer Engineering,4,Object Oriented Programming - C++,Before Mid-1,86.8,4.65,19.5,3,,,DD,1,At Risk
Electrical Engineering,7,Smart Grid Technology,Before Mid-1,82.3,6.87,21.5,0,,,AB,1,Excellent
Computer Engineering,7,Compiler Design,After Mid-2,88.4,6.65,15.0,0,6.0,9.8,BC,1,Good
Civil Engineering,1,Physics,After Mid-2,73.6,5.5,17.9,1,5.8,9.9,CC,1,Average
Electrical Engineering,7,Smart Grid Technology,After Mid-1,93.4,8.06,26.1,0,7.4,,AB,1,Excellent
Mechanical Engineering,3,Kinematics of Machines,Before Mid-1,75.2,5.4,17.3,0,,,BC,1,Good
Computer Engineering,4,Discrete Mathematics,After Mid-1,82.6,6.58,24.0,0,5.5,,BC,1,Good
Information Technology,1,Engineering Graphics & Design,After Mid-1,86.0,6.27,20.1,0,5.6,,BC,1,Good
Computer Engineering,1,Engineering Graphics & Design,Before Mid-1,87.8,6.82,18.4,0,,,BB,1,Very Good
Civil Engineering,7,Project-1,After Mid-1,78.0,7.64,18.9,0,5.8,,BB,1,Very Good
Electronics & Communication,6,VLSI Design,After Mid-2,87.2,9.34,27.1,0,7.7,16.7,AA,1,Excellent
Civil Engineering,7,Design of Reinforced Concrete Structures,Before Mid-1,96.6,8.2,22.6,0,,,AB,1,Excellent
Mechanical Engineering,2,Programming for Problem Solving,After Mid-2,91.3,5.78,15.0,1,4.5,9.6,CC,1,Average
Electronics & Communication,2,Programming for Problem Solving,After Mid-1,92.7,6.67,19.7,0,5.3,,BC,1,Good
Mechanical Engineering,8,Project-2,After Mid-1,93.7,9.34,26.1,0,9.0,,AA,1,Excellent
Information Technology,3,IT Infrastructure & Management,After Mid-1,76.8,6.08,19.1,4,3.9,,FF,0,At Risk
Electronics & Communication,7,Microwave Engineering,After Mid-2,92.4,8.28,29.0,0,9.1,16.6,AB,1,Excellent
Information Technology,3,Digital Electronics,Before Mid-1,86.3,6.47,21.7,0,,,AB,1,Excellent
Information Technology,8,Project-2,Before Mid-1,84.4,6.14,19.5,0,,,BC,1,Good
Information Technology,2,Mathematics-2,After Mid-2,77.2,6.05,13.3,1,5.1,10.8,CC,1,Average
Information Technology,8,Big Data Analytics,After Mid-2,88.4,6.05,20.3,1,4.7,9.0,CC,1,Average
Mechanical Engineering,3,Engineering Thermodynamics,After Mid-1,88.5,9.15,20.6,0,8.4,,AB,1,Excellent
Civil Engineering,7,Highway & Traffic Engineering,After Mid-1,85.9,8.47,22.2,0,9.0,,AA,1,Excellent
Electrical Engineering,5,Microprocessor & Microcontroller,After Mid-2,74.6,4.75,11.9,1,3.9,8.4,CD,1,Average
Civil Engineering,6,Design of Steel Structures,Before Mid-1,85.5,7.14,19.4,0,,,BB,1,Very Good
Computer Engineering,4,Principles of Economics & Management,After Mid-2,83.9,6.6,27.0,4,5.1,9.0,CC,1,Average
Mechanical Engineering,1,Engineering Graphics & Design,After Mid-1,92.5,7.36,21.2,0,7.0,,BB,1,Very Good
Computer Engineering,7,Cloud Computing,After Mid-2,75.6,8.71,30.7,0,8.3,17.1,AA,1,Excellent
Mechanical Engineering,3,Material Science & Metallurgy,After Mid-2,67.0,6.5,17.9,0,5.0,10.1,BC,1,Good
Electronics & Communication,4,Analog Communication,After Mid-1,95.2,7.35,25.8,0,8.3,,AB,1,Excellent
Civil Engineering,3,Mechanics of Solids,Before Mid-1,100.0,7.26,20.7,0,,,BB,1,Very Good
Civil Engineering,5,Structural Analysis-2,After Mid-2,95.8,8.51,32.4,0,5.8,11.9,AB,1,Excellent
Electrical Engineering,1,Mathematics-1,After Mid-1,69.4,6.4,18.3,0,5.8,,BC,1,Good
Civil Engineering,3,Surveying,After Mid-1,68.8,7.09,21.2,0,6.7,,BB,1,Very Good
Computer Engineering,7,Cloud Computing,Before Mid-1,94.1,7.55,25.4,0,,,AB,1,Excellent
Electrical Engineering,8,Project-2,After Mid-2,83.3,6.87,21.1,0,5.2,12.9,BB,1,Very Good
Mechanical Engineering,2,Workshop Practices,Before Mid-1,91.9,7.25,15.3,0,,,BB,1,Very Good
